full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
ChrisWiles/claude-code-showcase,5649,5649,498,11,11,0,https://github.com/ChrisWiles/claude-code-showcase
pedrohcgs/claude-code-my-workflow,812,812,1545,2,2,6,https://github.com/pedrohcgs/claude-code-my-workflow
OneRedOak/claude-code-workflows,3759,3759,553,3,3,0,https://github.com/OneRedOak/claude-code-workflows
beita6969/claude-code,142,142,363,142,142,363,https://github.com/beita6969/claude-code
Onewon/claude-code,55,55,511,21,21,297,https://github.com/Onewon/claude-code
1rgs/claude-code-proxy,3332,3332,440,1,1,0,https://github.com/1rgs/claude-code-proxy
qwibitai/nanoclaw,26093,26093,9925,23,23,47,https://github.com/qwibitai/nanoclaw
disler/claude-code-hooks-mastery,3447,3447,586,1,1,0,https://github.com/disler/claude-code-hooks-mastery
tanbiralam/claude-code,166,166,296,98,98,192,https://github.com/tanbiralam/claude-code
zebbern/claude-code-guide,3769,3769,352,4,4,0,https://github.com/zebbern/claude-code-guide
sickn33/antigravity-awesome-skills,29374,29374,4904,182,182,34,https://github.com/sickn33/antigravity-awesome-skills
hangsman/claude-code-source,381,381,926,115,115,257,https://github.com/hangsman/claude-code-source
kodu-ai/claude-coder,5288,5288,198,0,0,0,https://github.com/kodu-ai/claude-coder
anthropics/skills,107460,107460,11910,179,179,29,https://github.com/anthropics/skills
Maciek-roboblog/Claude-Code-Usage-Monitor,7233,7233,353,7,7,2,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
Yuyz0112/claude-code-reverse,2313,2313,384,5,5,3,https://github.com/Yuyz0112/claude-code-reverse
fuergaosi233/claude-code-proxy,2294,2294,323,2,2,0,https://github.com/fuergaosi233/claude-code-proxy
anthropics/claude-code-security-review,4084,4084,343,5,5,0,https://github.com/anthropics/claude-code-security-review
RichardAtCT/claude-code-telegram,2296,2296,305,3,3,2,https://github.com/RichardAtCT/claude-code-telegram
FlorianBruniaux/claude-code-ultimate-guide,2629,2629,376,29,29,0,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
Cranot/claude-code-guide,2542,2542,267,3,3,1,https://github.com/Cranot/claude-code-guide
anthropics/claude-code-base-action,743,743,590,2,2,1,https://github.com/anthropics/claude-code-base-action
ding113/claude-code-hub,2232,2232,253,2,2,0,https://github.com/ding113/claude-code-hub
https-deeplearning-ai/sc-claude-code-files,469,469,639,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
edmund-io/edmunds-claude-code,1375,1375,282,1,1,0,https://github.com/edmund-io/edmunds-claude-code
router-for-me/CLIProxyAPI,21678,21678,3573,71,71,16,https://github.com/router-for-me/CLIProxyAPI
Pimzino/claude-code-spec-workflow,3595,3595,252,1,1,0,https://github.com/Pimzino/claude-code-spec-workflow
obra/superpowers,127818,127818,10442,517,517,58,https://github.com/obra/superpowers
eyaltoledano/claude-task-master,26328,26328,2468,5,5,1,https://github.com/eyaltoledano/claude-task-master
wshobson/agents,32648,32648,3558,13,13,6,https://github.com/wshobson/agents
wanshuiyin/Auto-claude-code-research-in-sleep,5004,5004,410,26,26,3,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
anthropics/claude-plugins-official,15555,15555,1694,46,46,6,https://github.com/anthropics/claude-plugins-official
zhukunpenglinyutong/idea-claude-code-gui,2268,2268,262,2,2,1,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
snarktank/ralph,14154,14154,1442,19,19,5,https://github.com/snarktank/ralph
bfly123/claude_code_bridge,2008,2008,183,4,4,0,https://github.com/bfly123/claude_code_bridge
Leonxlnx/claude-code-system-prompts,759,759,395,759,759,395,https://github.com/Leonxlnx/claude-code-system-prompts
ghuntley/claude-code-source-code-deobfuscation,919,919,510,15,15,37,https://github.com/ghuntley/claude-code-source-code-deobfuscation
feiskyer/claude-code-settings,1391,1391,207,0,0,0,https://github.com/feiskyer/claude-code-settings
siteboon/claudecodeui,9201,9201,1182,23,23,5,https://github.com/siteboon/claudecodeui
ponponon/claude_code_src,228,228,436,228,228,436,https://github.com/ponponon/claude_code_src
carlvellotti/claude-code-pm-course,1711,1711,264,1,1,0,https://github.com/carlvellotti/claude-code-pm-course
sugyan/claude-code-webui,987,987,227,-2,-2,0,https://github.com/sugyan/claude-code-webui
centminmod/my-claude-code-setup,2138,2138,213,3,3,0,https://github.com/centminmod/my-claude-code-setup
lst97/claude-code-sub-agents,1506,1506,239,1,1,0,https://github.com/lst97/claude-code-sub-agents
zstmfhy/Claude-code,79,79,154,79,79,154,https://github.com/zstmfhy/Claude-code
VineeTagarwaL-code/claude-code,125,125,129,125,125,129,https://github.com/VineeTagarwaL-code/claude-code
tvytlx/claude-code-deep-dive,847,847,300,847,847,300,https://github.com/tvytlx/claude-code-deep-dive
darcyegb/ClaudeCodeAgents,635,635,56,1,1,0,https://github.com/darcyegb/ClaudeCodeAgents
Alishahryar1/free-claude-code,1283,1283,167,5,5,2,https://github.com/Alishahryar1/free-claude-code
alirezarezvani/claude-skills,8353,8353,991,69,69,8,https://github.com/alirezarezvani/claude-skills
rohitg00/awesome-claude-code-toolkit,975,975,251,5,5,3,https://github.com/rohitg00/awesome-claude-code-toolkit
slopus/happy,16798,16798,1335,20,20,-1,https://github.com/slopus/happy
nishimoto265/Claude-Code-Communication,495,495,236,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
Yeachan-Heo/oh-my-claudecode,18637,18637,1357,482,482,80,https://github.com/Yeachan-Heo/oh-my-claudecode
lowcortisolprogrammer/claude-code,116,116,110,116,116,110,https://github.com/lowcortisolprogrammer/claude-code
farion1231/cc-switch,36338,36338,2168,106,106,4,https://github.com/farion1231/cc-switch
simonw/claude-code-transcripts,1370,1370,144,2,2,0,https://github.com/simonw/claude-code-transcripts
trailofbits/claude-code-config,1724,1724,132,2,2,0,https://github.com/trailofbits/claude-code-config
steipete/claude-code-mcp,1211,1211,150,2,2,0,https://github.com/steipete/claude-code-mcp
catlog22/Claude-Code-Workflow,1632,1632,137,1,1,0,https://github.com/catlog22/Claude-Code-Workflow
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,2537,2537,425,19,19,5,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
Njengah/claude-code-cheat-sheet,1505,1505,190,0,0,0,https://github.com/Njengah/claude-code-cheat-sheet
jeremylongshore/claude-code-plugins-plus-skills,1777,1777,235,13,13,4,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
rizethereum/claude-code-requirements-builder,1760,1760,174,0,0,0,https://github.com/rizethereum/claude-code-requirements-builder
andrepimenta/claude-code-chat,1013,1013,156,0,0,0,https://github.com/andrepimenta/claude-code-chat
disler/claude-code-hooks-multi-agent-observability,1318,1318,363,0,0,-1,https://github.com/disler/claude-code-hooks-multi-agent-observability
JessyTsui/Claude-Code-Remote,1192,1192,128,0,0,0,https://github.com/JessyTsui/Claude-Code-Remote
jarrodwatts/claude-hud,15713,15713,656,81,81,5,https://github.com/jarrodwatts/claude-hud
0xfurai/claude-code-subagents,806,806,144,0,0,0,https://github.com/0xfurai/claude-code-subagents
freestylefly/claude-code,60,60,113,60,60,113,https://github.com/freestylefly/claude-code
ComposioHQ/awesome-claude-skills,49828,49828,5160,100,100,5,https://github.com/ComposioHQ/awesome-claude-skills
jarrodwatts/claude-code-config,1005,1005,126,0,0,0,https://github.com/jarrodwatts/claude-code-config
pchalasani/claude-code-tools,1646,1646,103,2,2,0,https://github.com/pchalasani/claude-code-tools
peterkrueck/Claude-Code-Development-Kit,1335,1335,152,0,0,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
alirezarezvani/claude-code-tresor,660,660,146,2,2,1,https://github.com/alirezarezvani/claude-code-tresor
d-kimuson/claude-code-viewer,1025,1025,119,4,4,2,https://github.com/d-kimuson/claude-code-viewer
