full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
leaked-claude-code/leaked-claude-code,510,510,743,37,37,39,https://github.com/leaked-claude-code/leaked-claude-code
VineeTagarwaL-code/claude-code,240,240,241,4,4,2,https://github.com/VineeTagarwaL-code/claude-code
fuergaosi233/claude-code-proxy,2316,2316,325,6,6,1,https://github.com/fuergaosi233/claude-code-proxy
zstmfhy/Claude-code,167,167,257,11,11,8,https://github.com/zstmfhy/Claude-code
RichardAtCT/claude-code-telegram,2320,2320,308,1,1,0,https://github.com/RichardAtCT/claude-code-telegram
liuup/claude-code-analysis,554,554,571,78,78,69,https://github.com/liuup/claude-code-analysis
anthropics/claude-code-security-review,4111,4111,354,1,1,1,https://github.com/anthropics/claude-code-security-review
alex000kim/claude-code,159,159,248,5,5,9,https://github.com/alex000kim/claude-code
FlorianBruniaux/claude-code-ultimate-guide,2729,2729,388,17,17,1,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
Cranot/claude-code-guide,2556,2556,278,3,3,1,https://github.com/Cranot/claude-code-guide
xorespesp/claude-code,166,166,231,7,7,13,https://github.com/xorespesp/claude-code
freestylefly/claude-code,110,110,261,4,4,7,https://github.com/freestylefly/claude-code
router-for-me/CLIProxyAPI,22161,22161,3671,89,89,29,https://github.com/router-for-me/CLIProxyAPI
anthropics/claude-code-base-action,773,773,598,14,14,1,https://github.com/anthropics/claude-code-base-action
lintsinghua/claude-code-book,1226,1226,348,212,212,39,https://github.com/lintsinghua/claude-code-book
ding113/claude-code-hub,2259,2259,257,6,6,0,https://github.com/ding113/claude-code-hub
obra/superpowers,130919,130919,10821,475,475,58,https://github.com/obra/superpowers
https-deeplearning-ai/sc-claude-code-files,470,470,641,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
edmund-io/edmunds-claude-code,1378,1378,281,0,0,-1,https://github.com/edmund-io/edmunds-claude-code
snarktank/ralph,14222,14222,1447,10,10,1,https://github.com/snarktank/ralph
AprilNEA/claude-code-source,297,297,537,12,12,22,https://github.com/AprilNEA/claude-code-source
eyaltoledano/claude-task-master,26358,26358,2473,9,9,1,https://github.com/eyaltoledano/claude-task-master
wshobson/agents,32776,32776,3573,14,14,1,https://github.com/wshobson/agents
wanshuiyin/Auto-claude-code-research-in-sleep,5204,5204,430,31,31,1,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
Pimzino/claude-code-spec-workflow,3601,3601,253,0,0,0,https://github.com/Pimzino/claude-code-spec-workflow
siteboon/claudecodeui,9309,9309,1216,12,12,5,https://github.com/siteboon/claudecodeui
anthropics/claude-plugins-official,15739,15739,1742,30,30,5,https://github.com/anthropics/claude-plugins-official
Kuberwastaken/claurst,6879,6879,7011,223,223,138,https://github.com/Kuberwastaken/claurst
zhukunpenglinyutong/idea-claude-code-gui,2314,2314,269,14,14,1,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
fazxes/Claude-code,163,163,159,9,9,8,https://github.com/fazxes/Claude-code
ghuntley/claude-code-source-code-deobfuscation,957,957,550,2,2,-2,https://github.com/ghuntley/claude-code-source-code-deobfuscation
Windy3f3f3f3f/how-claude-code-works,1100,1100,366,132,132,32,https://github.com/Windy3f3f3f3f/how-claude-code-works
lowcortisolprogrammer/claude-code,162,162,159,0,0,0,https://github.com/lowcortisolprogrammer/claude-code
Gitlawb/openclaude,4669,4669,1788,893,893,311,https://github.com/Gitlawb/openclaude
bfly123/claude_code_bridge,2032,2032,187,10,10,0,https://github.com/bfly123/claude_code_bridge
guanshan/ClaudeCode,45,45,186,5,5,8,https://github.com/guanshan/ClaudeCode
feiskyer/claude-code-settings,1400,1400,211,1,1,1,https://github.com/feiskyer/claude-code-settings
Alishahryar1/free-claude-code,1376,1376,208,6,6,2,https://github.com/Alishahryar1/free-claude-code
carlvellotti/claude-code-pm-course,1722,1722,265,3,3,0,https://github.com/carlvellotti/claude-code-pm-course
Yeachan-Heo/oh-my-claudecode,21355,21355,1835,289,289,57,https://github.com/Yeachan-Heo/oh-my-claudecode
sugyan/claude-code-webui,989,989,227,0,0,0,https://github.com/sugyan/claude-code-webui
alirezarezvani/claude-skills,8737,8737,1056,69,69,6,https://github.com/alirezarezvani/claude-skills
centminmod/my-claude-code-setup,2146,2146,213,1,1,0,https://github.com/centminmod/my-claude-code-setup
mehmoodosman/claude-code,101,101,161,3,3,1,https://github.com/mehmoodosman/claude-code
lst97/claude-code-sub-agents,1512,1512,240,1,1,0,https://github.com/lst97/claude-code-sub-agents
chiragjoshi12/claude-code,112,112,157,12,12,13,https://github.com/chiragjoshi12/claude-code
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,2800,2800,510,65,65,23,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
darcyegb/ClaudeCodeAgents,640,640,57,1,1,1,https://github.com/darcyegb/ClaudeCodeAgents
Hyper66666/claude-code-sourcemap,180,180,430,1,1,0,https://github.com/Hyper66666/claude-code-sourcemap
slopus/happy,16976,16976,1355,30,30,1,https://github.com/slopus/happy
rohitg00/awesome-claude-code-toolkit,1004,1004,266,3,3,3,https://github.com/rohitg00/awesome-claude-code-toolkit
farion1231/cc-switch,37382,37382,2266,227,227,27,https://github.com/farion1231/cc-switch
andrew-kramer-inno/claude-code-source-build,401,401,383,401,401,383,https://github.com/andrew-kramer-inno/claude-code-source-build
KPR111/Claude-Code,14,14,335,14,14,335,https://github.com/KPR111/Claude-Code
nishimoto265/Claude-Code-Communication,494,494,236,-1,-1,0,https://github.com/nishimoto265/Claude-Code-Communication
catlog22/Claude-Code-Workflow,1673,1673,139,8,8,0,https://github.com/catlog22/Claude-Code-Workflow
